batch,acc,train_loss,test_loss,f1
0,0.1574289706567303,0.7180569171905518,0.7124955654144287,0.054406438631790746
100,0.6096879366557988,0.3166826069355011,0.34989267587661743,0.4356661860974251
122,0.6520726595249184,0.34872668981552124,0.3516857624053955,0.6195886274885224
0,0.6688402421984164,0.3439551591873169,0.34902438521385193,0.640840945466881
100,0.7093619003260363,0.28483790159225464,0.28603577613830566,0.6738961155885295
122,0.6902654867256637,0.3673597276210785,0.32946890592575073,0.604035933577098
0,0.6842105263157895,0.3420233726501465,0.2692647874355316,0.5996352863165866
100,0.7610619469026548,0.06372016668319702,0.28944024443626404,0.7263863038520194
122,0.7512808570097811,0.3240949511528015,0.2585866153240204,0.7213285985462317
0,0.7508150908244061,0.22305980324745178,0.22880245745182037,0.7268527720721486
100,0.7494177922682813,0.108038991689682,0.1725887954235077,0.722642604256875
122,0.6972519795062878,0.1111336350440979,0.23164384067058563,0.6201326237067473
0,0.6986492780624126,0.2856232225894928,0.27967754006385803,0.6209563099194217
100,0.7652538425710294,0.18697801232337952,0.1859503984451294,0.7407599224726237
122,0.7536096879366558,0.08940113335847855,0.1739402860403061,0.7280373721075166
